seed,epoch,mse,bit_accuracy,positive_recall,sibling_distance,within_domain_distance,between_domain_distance,nearest_sibling_fraction,hierarchy_ordered
0,500,0.009509767385917002,0.9865591397849462,0.7899159663865546,0.21489949481673387,0.8769145710230184,1.06939538332476,1.0,True
1,500,0.012959692232901172,0.9822580645161291,0.7226890756302521,0.22610792181690875,0.5220695672600455,1.048870581694989,0.875,True
2,500,0.011784228504938706,0.9838709677419355,0.7478991596638656,0.28712443471726135,0.686679776832662,1.0456957186494868,1.0,True
3,500,0.01312426717940557,0.9801075268817204,0.6890756302521008,0.22468103111528082,0.5249791029622128,1.0027987346528455,1.0,True
4,500,0.01296279411636165,0.9833333333333333,0.7394957983193278,0.1959882384477536,0.5270825587107512,0.9456379064341871,1.0,True
5,500,0.01348665564335713,0.9779569892473118,0.6554621848739496,0.35159125423434323,0.4704121097984152,0.9321855404183788,0.75,True
6,500,0.013191854479841015,0.9817204301075269,0.7142857142857143,0.2268649238190062,0.5373588323846483,1.0107055562787965,1.0,True
7,500,0.010701184732437788,0.986021505376344,0.7815126050420168,0.2282716387150417,0.7120877663725494,1.0647629741156868,1.0,True
8,500,0.010268516783884945,0.9887096774193549,0.8235294117647058,0.1782925655957074,0.7388564237815365,1.0575689415374159,1.0,True
9,500,0.01393751183835508,0.9774193548387097,0.6470588235294118,0.24283652319542032,0.355575134037335,1.0114052087026342,0.875,True
